2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing WmfImagePlugin
2025-10-05 19:40:38 | INFO    | tracer          | OCR: tesserocr (lang: eng)
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing XbmImagePlugin
2025-10-05 19:40:38 | INFO    | tracer          | Multi-language database: English initialized
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing XpmImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing XVThumbImagePlugin
2025-10-05 19:40:38 | INFO    | tracer          | Multi-language database: Auto-detected language 'fr_FR'
2025-10-05 19:40:38 | INFO    | tracer          | Multi-language auto-detection enabled
2025-10-05 19:40:38 | DEBUG   | PIL.PngImagePlugin | STREAM b'IHDR' 8376 13
2025-10-05 19:40:38 | DEBUG   | PIL.PngImagePlugin | STREAM b'IDAT' 8401 8480
2025-10-05 19:40:38 | INFO    | tracer          | Injector: Auto-detected game directory: C:\Riot Games\League of Legends\Game
2025-10-05 19:40:38 | INFO    | tracer          | System tray icon started
2025-10-05 19:40:38 | INFO    | tracer          | System ready - OCR active only in Champion Select
2025-10-05 19:40:38 | INFO    | websocket       | Websocket connected
2025-10-05 19:40:38 | INFO    | tracer          | WebSocket: Connected
2025-10-05 19:40:38 | INFO    | tracer          | OCR: Thread ready (active only in Champion Select)
2025-10-05 19:40:38 | INFO    | tracer          | Found 8277 existing skins, skipping download
2025-10-05 19:40:38 | INFO    | tracer          | No new skins to download
2025-10-05 19:40:38 | INFO    | tracer          | Background skin download completed successfully
2025-10-05 19:40:39 | INFO    | tracer          | WebSocket connected - detecting language...
2025-10-05 19:40:39 | INFO    | tracer          | Language changed to: fr_FR
2025-10-05 19:40:39 | INFO    | tracer          | OCR language kept at: eng (LCU: fr_FR, OCR language not available)
2025-10-05 19:40:41 | INFO    | tracer          | [phase] Matchmaking
2025-10-05 19:40:41 | INFO    | tracer          | [phase] ReadyCheck
2025-10-05 19:40:41 | INFO    | tracer          | [players] #Players: 1
2025-10-05 19:40:41 | INFO    | tracer          | [phase] ChampSelect
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 552, 1385, 620)
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 582, 1385, 650)
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 642, 1385, 710)
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
